MM:DD:YYYY hh:mm:ss, Elapsed Time, Device, LeftCount, LeftDuration, RightCount, RightDuration, BatteryVoltage
2/3/2020 22:29,3:37:53,2,1,64.88,436,10648.96,4.14
2/3/2020 22:31,3:39:54,2,1,64.88,439,10748.91,4.14
2/3/2020 22:32,3:41:14,2,1,64.88,441,10814.42,4.14
2/3/2020 22:34,3:42:44,2,1,64.88,443,10888.03,4.14
2/3/2020 22:34,3:42:55,2,1,64.88,445,10896.54,4.15
2/3/2020 22:37,3:45:55,2,1,64.88,447,11044.77,4.15
2/3/2020 22:46,3:55:10,2,1,64.88,450,11503.27,4.14
2/3/2020 23:22,4:31:10,2,1,64.88,452,13286.71,4.14
2/3/2020 23:42,4:51:21,2,1,64.88,454,14286.4,4.15
2/3/2020 23:44,4:52:46,2,1,64.88,455,14356.05,4.14
2/3/2020 23:44,4:53:18,2,1,64.88,457,14382.53,4.15
2/3/2020 23:47,4:56:16,2,1,64.88,462,14528.78,4.13
2/3/2020 23:52,5:01:01,2,1,64.88,466,14763.72,4.13
2/3/2020 23:59,5:08:06,2,1,64.88,470,15114.01,4.14
2/4/2020 0:15,5:24:05,2,2,65.03,472,15905.58,4.12
2/4/2020 0:16,5:25:05,2,2,65.03,474,15954.77,4.14
2/4/2020 0:27,5:35:48,2,2,65.03,476,16485.73,4.11
2/4/2020 0:27,5:35:58,2,2,65.03,486,16491.72,4.11
2/4/2020 0:27,5:36:08,2,2,65.03,487,16493.83,4.14
2/4/2020 0:28,5:36:56,2,2,65.03,492,16532.28,4.13
2/4/2020 0:30,5:38:40,2,2,65.03,495,16617.28,4.14
2/4/2020 0:31,5:40:15,2,2,65.03,498,16695.86,4.13
2/4/2020 0:44,5:53:01,2,3,65.66,500,17325.76,4.12
2/4/2020 0:46,5:55:18,2,3,65.66,502,17438.01,4.14
2/4/2020 0:50,5:59:24,2,3,65.66,505,17640.06,4.13
2/4/2020 1:29,6:37:38,2,3,65.66,506,19530.57,4.11
2/4/2020 1:29,6:37:52,2,3,65.66,510,19541.78,4.12
2/4/2020 1:29,6:38:09,2,3,65.66,513,19554.98,4.12
2/4/2020 1:29,6:38:25,2,3,65.66,520,19567,4.12
2/4/2020 1:31,6:39:50,2,3,65.66,524,19636.79,4.12
2/4/2020 1:50,6:59:31,2,3,65.66,525,20609.61,4.12
2/4/2020 1:51,6:59:48,2,3,65.66,531,20622.9,4.12
2/4/2020 1:51,7:00:10,2,3,65.66,537,20640.89,4.13
2/4/2020 1:51,7:00:35,2,3,65.66,540,20660.24,4.12
2/4/2020 1:52,7:00:49,2,3,65.66,543,20671.89,4.13
2/4/2020 1:54,7:03:21,2,3,65.66,546,20796.68,4.14
2/4/2020 1:55,7:03:42,2,3,65.66,549,20812.88,4.12
2/4/2020 1:56,7:05:15,2,3,65.66,551,20889.11,4.12
2/4/2020 2:01,7:10:29,2,3,65.66,552,21147.8,4.1
2/4/2020 2:07,7:16:01,2,3,65.66,554,21420.7,4.11
2/4/2020 2:07,7:16:11,2,3,65.66,554,21420.7,4.12
2/4/2020 2:10,7:19:09,2,3,65.66,556,21566.3,4.12
2/4/2020 2:11,7:19:39,2,3,65.66,558,21590.74,4.12
2/4/2020 2:11,7:19:57,2,3,65.66,560,21605.51,4.12
2/4/2020 2:31,7:39:40,2,3,65.66,562,22579.85,4.11
2/4/2020 2:32,7:40:50,2,3,65.66,564,22637.3,4.11
2/4/2020 4:53,10:01:51,2,3,65.66,568,29608.76,4.1
2/4/2020 5:33,10:42:04,2,3,65.66,569,31597.32,4.11
2/4/2020 5:36,10:45:28,2,3,65.66,571,31765.09,4.11
2/4/2020 5:37,10:45:49,2,3,65.66,574,31781.31,4.09
2/4/2020 5:37,10:45:59,2,3,65.66,578,31789.29,4.1
2/4/2020 5:37,10:46:19,2,3,65.66,581,31805.56,4.11
2/4/2020 5:38,10:46:55,2,3,65.66,585,31834.31,4.1
2/4/2020 12:46,17:55:24,2,3,65.66,586,53120.46,4.07
2/4/2020 20:22,25:30:50,2,3,65.66,588,75750.02,4.03
2/4/2020 20:26,25:35:40,2,3,65.66,592,75990.11,4.01
2/4/2020 20:27,25:35:50,2,3,65.66,593,75991.72,4.04
2/4/2020 20:28,25:37:29,2,3,65.66,594,76066.55,4.01
2/4/2020 20:28,25:37:39,2,3,65.66,594,76066.55,4.04
2/4/2020 20:29,25:37:49,2,3,65.66,594,76066.55,4.05
2/4/2020 20:29,25:37:59,2,3,65.66,594,76066.55,4.05
2/4/2020 20:29,25:38:09,2,3,65.66,594,76066.55,4.03
2/4/2020 21:19,26:27:47,2,3,65.66,595,78529.36,4.03
2/5/2020 3:35,32:44:34,2,3,65.66,597,97251.08,4.03
